player,dealer,action,basic_payout,hilow_payout,diff
11,A,D,0.09415000719114051,0.1323754134905796,0.03822540629943909
55,A,H,0.042166806927403995,0.06502192496788767,0.022855118040483673
A8,6,Ds,0.4618460513162279,0.48082639120293236,0.018980339886704445
44,4,H,0.06554682488774856,0.08346696600384862,0.01792014111610006
9,2,D,0.07646826599094757,0.09331992912294232,0.01685166313199475
15,T,Rh,-0.5,-0.4835962960758345,0.016403703924165514
88,A,Rp,-0.5,-0.48420773246040877,0.01579226753959123
8,6,H,0.12108295173985524,0.13648033650565883,0.015397384765803587
A8,5,S,0.4475616921269095,0.4622102339493644,0.014648541822454897
44,5,Ph,0.20276971456216739,0.21456216739235606,0.011792452830188677
99,A,S,-0.20698353690918747,-0.19521154186581696,0.011771995043370509
10,A,H,0.034171165418625804,0.045548654244306416,0.011377488825680612
A7,2,Ds,0.10519872792835948,0.11641584500951392,0.011217117081154443
77,T,H,-0.48899661818848184,-0.4779016109417429,0.011095007246738953
16,9,H,-0.49291877425618935,-0.4825451704912712,0.010373603764918138
13,2,S,-0.28889845777289264,-0.2788662383332011,0.010032219439691514
12,3,H,-0.23028654690480452,-0.2207337002026828,0.009552846702121726
8,5,H,0.10134773546642632,0.11079033348355115,0.009442598017124826
9,7,H,0.18368917542638838,0.1930257100328576,0.009336534606469216
33,8,H,-0.2267937629431112,-0.217718357899866,0.009075405043245222
A8,4,S,0.4143875063620048,0.4232675256489245,0.008880019286919727
10,9,D,0.1432813594177976,0.15168907838635617,0.008407718968558575
33,2,Ph,-0.10819760157508503,-0.10011335839150409,0.008084243183580933
A2,4,H,0.10520671988561897,0.11297774600526894,0.007771026119649971
77,A,H,-0.49315494710640945,-0.4856209440839186,0.007534003022490854
A3,4,D,0.09180170831005029,0.09885314387589474,0.007051435565844449
15,A,Rh,-0.5,-0.4930377007454877,0.006962299254512305
16,T,Rh,-0.5,-0.49362645531451543,0.006373544685484567
15,9,H,-0.46811416986381077,-0.46196156153972034,0.006152608324090425
17,A,Rs,-0.5,-0.49517660625009674,0.00482339374990326
13,3,S,-0.2458665383329119,-0.2412416290773836,0.004624909255528276
A6,2,H,0.002341517620912266,0.0067864324267118215,0.004444914805799555
55,9,D,0.16928848015488868,0.1737052274927396,0.0044167473378509126
44,6,Ph,0.2528718258766626,0.25701330108827086,0.0041414752116082365
12,2,H,-0.2525985431469085,-0.24872337091137783,0.0038751722355306606
77,8,Ph,-0.3780207663328126,-0.3745597108640387,0.0034610554687738992
99,7,S,0.3956148130026605,0.39873398367022417,0.0031191706675636754
55,T,H,0.030599541878298973,0.03364538724562627,0.0030458453673272955
10,T,H,0.028134526371827655,0.03116369430817538,0.0030291679363477243
88,T,P,-0.4605003373903481,-0.4574929814476962,0.003007355942651946
14,T,H,-0.456776051724234,-0.4539494335309789,0.002826618193255137
8,4,H,0.0608678475011523,0.06327780338447356,0.0024099558833212548
22,3,Ph,0.014864577317080584,0.016840441377633217,0.001975864060552633
14,A,H,-0.46852063074732087,-0.46664056811078675,0.0018800626365341189
16,A,Rh,-0.5,-0.49834778618772385,0.0016522138122761487
A7,A,H,-0.16436350730874166,-0.16354279883769934,0.0008207084710423196
66,7,Ph,-0.23090235608452758,-0.23008258440612095,0.0008197716784066333
14,9,H,-0.4238629291979523,-0.4231827080749856,0.0006802211229667288
22,2,Ph,-0.06101101698285805,-0.06101101698285805,0.0
8,3,H,0.012999305862308323,0.012999305862308323,0.0
33,3,Ph,-0.022426014176444676,-0.02282647871530976,-0.0004004645388650842
