action,player,dealer,basic_payout,hilow_payout,diff
H (2D),11,A,0.04804744140528553,0.07999227865091871,0.03194483724563318
S (1Ds),A8,6,0.2411734789475093,0.25730747611017424,0.016133997162664948
H (2D),8,6,0.0651398715422025,0.07360447475506529,0.008464603212862798
S (1D),A8,5,0.2229414360798684,0.23120645152662056,0.00826501544675215
H (1D),9,2,0.04295828900546608,0.05083642099856928,0.0078781319931032
S (1P),99,A,-0.03733123312331233,-0.03076057605760576,0.006570657065706569
S (-1H),13,2,-0.1475581934702146,-0.14149887825518984,0.0060593152150247576
D (-1H),A3,4,0.040236670690775946,0.045974342986773505,0.005737672295997559
H (3D),10,A,0.04113426539947078,0.0466496729573583,0.005515407557887521
S (-1H),A7,A,-0.05445633197546891,-0.04902860468239402,0.005427727293074891
Rh (-1H),15,T,-0.16666666666666666,-0.16131561103835187,0.0053510556283147825
H (4D),8,5,0.051759222097829224,0.056969645761601996,0.005210423663772772
H (4P),44,4,0.03293847455578387,0.037773479995165,0.004835005439381125
H (4D),9,7,0.09110031990057767,0.0957630434282295,0.0046627235276518325
H (3D),A2,4,0.052728476821192055,0.057172185430463575,0.00444370860927152
H (3S),12,3,-0.11406261163063271,-0.10989184982940425,0.004170761801228454
Ph (-2H),44,5,0.05840020186727227,0.062427453949028516,0.00402725208175625
D (-2H),10,9,0.07530093861029113,0.07908808088664204,0.0037871422763509077
S (3D),A8,4,0.21022134894538455,0.21376346673082577,0.0035421177854412234
H (1R),16,9,-0.1639068412109468,-0.16053275274239304,0.0033740884685537764
Rh (-2H),16,A,-0.16666666666666666,-0.16350942069995633,0.003157245966710326
S (-3H),13,3,-0.12435541128277487,-0.12134274278233954,0.003012668500435328
H (1R),77,T,-0.1624941568266244,-0.15950134565862592,0.002992811167998488
D (-2H),55,9,0.07514151804735529,0.07789579402276463,0.002754275975409337
Ph (2H),77,8,-0.1934680947352542,-0.1907225825916428,0.002745512143611406
D (-1H),A6,2,0.004438263554337122,0.007119853078171995,0.002681589523834873
H (1R),15,A,-0.16173700511092678,-0.15913635987121025,0.002600645239716537
H (5S),12,2,-0.12535046847560172,-0.12329181512724467,0.002058653348357045
Rh (-3H),16,T,-0.16666666666666666,-0.16463969906550951,0.0020269676011571425
H (3R),15,9,-0.15700416614542465,-0.15505491047904987,0.0019492556663747718
H (4D),55,A,0.04295502068781421,0.044801352493660185,0.001846331805845973
Ph (-3H),33,3,-0.0234276665719274,-0.02160055219456738,0.0018271143773600194
H (3D),10,T,0.013658380205050455,0.015278151050862492,0.0016197708458120363
H (3D),55,T,0.017160647571606475,0.018775425487754255,0.0016147779161477804
H (7D),8,4,0.030020717550725114,0.03157617810516623,0.0015554605544411196
Ph (-6H),22,3,0.0024996988314660885,0.0039151909408505,0.0014154921093844112
Ph (-6H),22,2,-0.02897749703908409,-0.02783260955388867,0.0011448874851954227
S (2D),A7,2,0.04463837101679228,0.04569174489840892,0.001053373881616644
H (4R),14,T,-0.15260747129246968,-0.15162632850406002,0.0009811427884096613
Ph (2H),66,7,-0.12003577275207664,-0.11923240162493179,0.0008033711271448474
Ph (-4H),44,6,0.06312854825628549,0.06370640713706407,0.0005778588807785895
S (7P),99,7,0.1995538306390001,0.1999205451822877,0.00036671454328759956
S (-7R),17,A,-0.15673395010896027,-0.15639630862493573,0.0003376414840245423
H (6R),14,A,-0.14815648373506696,-0.14783925511290016,0.00031722862216679304
H (8R),14,9,-0.14127039327685761,-0.14112037725241863,0.00015001602443898143
P (4R),88,T,-0.2354541458276311,-0.23535254256969154,0.00010160325793956426
P,88,A,-0.16938592559390409,-0.16938592559390409,0.0
H,8,3,0.007149246687750487,0.007149246687750487,0.0
H (4R),77,A,-0.23017596737733256,-0.23022029165373875,-4.432427640618797e-05
H (7P),33,8,-0.11292336744639377,-0.11344115497076024,-0.0005177875243664726
Ph (-2H),33,2,-0.05507050705070507,-0.056945694569456945,-0.0018751875187518752
