,2,3,4,5,6,7,8,9,T,A
TT,S,S,S,S,S,S,S,S,S,S
99,P,P,P,P,P,S (5P),P,P,S,S (1P)
88,P,P,P,P,P,P,P,P,P (3R),Rp (1P)
77,P,P,P,P,P,P,Ph (-3H),H,H (1R),R (-1H)
66,P,P,P,P,P,Ph (7H),H,H,H,H
55,D,D,D,D,D,D,D,D (-4H),H (3D),H (2D)
44,H,H,H (2P),Ph (-3H),Ph (-6H),H,H,H,H,H
33,H (1Ph),Ph (-5H),P,P,P,P,P (-2H),H,H,H
22,Ph,Ph (-5H),P,P,P,P,H,H,H,H
AA,P,P,P,P,P,P,P,P,P,P
A9,S,S,S,S,S,S,S,S,S,S
A8,S,S,S (3D),S (1D),Ds (-1S),S,S,S,S,S
A7,S (3Ds),Ds,Ds,Ds,Ds,S,S,H,H,H (7S)
A6,D (-1H),D,D,D,D,H,H,H,H,H
A5,H,H,D,D,D,H,H,H,H,H
A4,H,H,D,D,D,H,H,H,H,H
A3,H,H,H (1D),D,D,H,H,H,H,H
A2,H,H,H (2D),D,D,H,H,H,H,H
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
17,S,S,S,S,S,S,S,S,S,Rs (1S)
16,S,S,S,S,S,H,H,H (1R),Rh (-3H),Rh (-5H)
15,S,S,S,S,S,H,H,H (3R),Rh (-1H),Rh (-3H)
14,S,S,S,S,S,H,H,H (8R),H (4R),H (4R)
13,S (-1H),S (-3H),S,S,S,H,H,H,H,H
12,H (4S),H (2S),S,S,S,H,H,H,H,H
11,D,D,D,D,D,D,D,D,D,H (1D)
10,D,D,D,D,D,D,D,D (-2H),H (4D),H (3D)
9,H (2D),D,D,D,D,H (3D),H,H,H,H
8,H,H,H (7D),H (4D),H (3D),H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
4,H,H,H,H,H,H,H,H,H,H
3,H,H,H,H,H,H,H,H,H,H
