,2,3,4,5,6,7,8,9,T,A
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,HD,HD,HD,HD,,,,,
9,HD,,,,,HD,,,,
10,,,,,,,,HD,HD,HD
11,,,,,,,,,,HD
12,HS,HS,,,,,,,,
13,HS,HS,,,,,,,,
14,,,,,,,,HRS,HRS,HRS
15,,,,,,,,HRS,HRS,HRS
16,,,,,,,,HRS,HRS,HRS
17,,,,,,,,,,HRS
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
A2,,,DH,,,,,,,
A3,,,DH,,,,,,,
A4,,,,,,,,,,
A5,,,,,,,,,,
A6,DH,,,,,,,,,
A7,SDH,,,,,,,,,SH
A8,,,SD,SD,SD,,,,,
A9,,,,,,,,,,
AA,,,,,,,,,,
22,PH,PH,,,,,,,,
33,PH,PH,,,,,PH,,,
44,,,PH,PHD,PHD,,,,,
55,,,,,,,,DH,DH,DH
66,,,,,,PH,,,,
77,,,,,,,PH,,RHS,RH
88,,,,,,,,,RP,RP
99,,,,,,SP,,,,SP
TT,,,,,,,,,,
