,2,3,4,5,6,7,8,9,T,A,FD - free double
3,H,H,H,H,H,H,H,H,H,H,D - real money double
4,H,H,H,H,H,H,H,H,H,H,"Rh - surrender if allowed, otherwise hit"
5,H,H,H,H,H,H,H,H,H,H,"Rs - surrender if allowed, otherwise stand"
6,H,H,H,H,H,H,H,H,H,H,
7,H,H,H,H,H,H,H,H,H,H,
8,H,H,H,H,H,H,H,H,H,H,
9,FD,FD,FD,FD,FD,FD,FD,FD,FD,FD,
10,FD,FD,FD,FD,FD,FD,FD,FD,FD,FD,
11,FD,FD,FD,FD,FD,FD,FD,FD,FD,FD,
12,H,H,H,S,S,H,H,H,H,H,
13,H,S,S,S,S,H,H,H,H,H,
14,S,S,S,S,S,H,H,H,H,H,
15,S,S,S,S,S,H,H,H,Rh,Rh,
16,S,S,S,S,S,H,H,Rh,Rh,Rh,
17,S,S,S,S,S,S,S,S,S,Rs,
18,S,S,S,S,S,S,S,S,S,S,
19,S,S,S,S,S,S,S,S,S,S,
20,S,S,S,S,S,S,S,S,S,S,
A2,H,H,H,H,H,H,H,H,H,H,
A3,H,H,H,H,H,H,H,H,H,H,
A4,H,H,H,H,H,H,H,H,H,H,
A5,H,H,H,H,D,H,H,H,H,H,
A6,H,H,H,D,D,H,H,H,H,H,
A7,S,S,S,Ds,Ds,S,S,H,H,H,
A8,S,S,S,S,S,S,S,S,S,S,
A9,S,S,S,S,S,S,S,S,S,S,
AA,P,P,P,P,P,P,P,P,P,P,
22,P,P,P,P,P,P,P,P,P,P,
33,P,P,P,P,P,P,P,P,P,P,
44,P,P,P,P,P,P,P,P,P,P,
55,FD,FD,FD,FD,FD,FD,FD,FD,FD,FD,
66,P,P,P,P,P,P,P,P,P,P,
77,P,P,P,P,P,P,P,P,P,P,
88,P,P,P,P,P,P,P,P,P,P,
99,P,P,P,P,P,P,P,P,P,P,
TT,S,S,S,S,S,S,S,S,S,S,
